ID,URL,Title,duration,status,Audio Path,audio_exists,audio_size,audio_status
2kWUvM6XrSI,https://www.youtube.com/watch?v=2kWUvM6XrSI,BENIN: Les moments forts de l'année 2023 - Partie 2,54.4,success,Audios/2kWUvM6XrSI.mp3,True,52215778,ok
uFoHm_WAuiE,https://www.youtube.com/watch?v=uFoHm_WAuiE,Bénin: retraite forcée de 1074 agents _ Emission Mɛ tomɛ xό 02.02.2024,51.7,success,Audios/uFoHm_WAuiE.mp3,True,49629029,ok
XbNX-VG-x2w,https://www.youtube.com/watch?v=XbNX-VG-x2w,385 Prisonniers graciés par le Président TALON _ Emission Mɛ tomɛ xό 09.02.2024,53.3,success,Audios/XbNX-VG-x2w.mp3,True,51162521,ok
k89ARX9cAhU,https://www.youtube.com/watch?v=k89ARX9cAhU,Bénin: 2 ans de salaire pour les retraités d'office - Mɛ tomɛ xό 16.02.2024,50.47,success,Audios/k89ARX9cAhU.mp3,True,48439099,ok
hBQJUsg1gx0,https://www.youtube.com/watch?v=hBQJUsg1gx0,Un parent peut-il coucher avec son enfant ? Emission Mɛ tomɛ xό - 23.02.24,53.3,success,Audios/hBQJUsg1gx0.mp3,True,51152072,ok
EJ95sy2UB5Q,https://www.youtube.com/watch?v=EJ95sy2UB5Q,Frontière Niger-Bénin : Niamey maintient la fermeture: À qui cela profite ?,49.03,success,Audios/EJ95sy2UB5Q.mp3,True,47064431,ok
LXA08m5lICM,https://www.youtube.com/watch?v=LXA08m5lICM,Bénin: Rejet de la révision de la constitution,55.18,success,Audios/LXA08m5lICM.mp3,True,52968105,ok
pd8_ewYe2xg,https://www.youtube.com/watch?v=pd8_ewYe2xg,Port des perles à la hanche: un arsenal de séduction en voie d’abandon dans les foyers,56.02,success,Audios/pd8_ewYe2xg.mp3,True,53766407,ok
2ZphtTi0db4,https://www.youtube.com/watch?v=2ZphtTi0db4,Le jeûne et le sport : comment s'y prendre ?,48.0,success,Audios/2ZphtTi0db4.mp3,True,46076376,ok
_NoqQ1xQ3mw,https://www.youtube.com/watch?v=_NoqQ1xQ3mw,L'allaitement maternel exclusif de 0 - 6 mois : avantage et inconvénients,42.32,success,Audios/_NoqQ1xQ3mw.mp3,True,40612395,ok
wmV8QDYMMrM,https://www.youtube.com/watch?v=wmV8QDYMMrM,Refus de visite des Députés LES DEMOCRATES à Reckya MADOUGOU,54.35,success,Audios/wmV8QDYMMrM.mp3,True,52171893,ok
ueHeVmsBbRo,https://www.youtube.com/watch?v=ueHeVmsBbRo,Peut-on garder secret dans le couple ?,52.45,success,Audios/ueHeVmsBbRo.mp3,True,50345411,ok
PxrnJxkw2q8,https://www.youtube.com/watch?v=PxrnJxkw2q8,08 ans de gouvernance Talon: que retenir ?,50.27,success,Audios/PxrnJxkw2q8.mp3,True,48248092,ok
WPUZchC3umc,https://www.youtube.com/watch?v=WPUZchC3umc,Prendre son ex comme confident ? Émission Metome Xo du 26 Avril 2024,51.77,success,Audios/WPUZchC3umc.mp3,True,49687543,ok
RKwio8oZyi4,https://www.youtube.com/watch?v=RKwio8oZyi4,Les interdits entre les amoureux avant le mariage,54.23,success,Audios/RKwio8oZyi4.mp3,True,52051520,ok
x_IUK2R8xXw,https://www.youtube.com/watch?v=x_IUK2R8xXw,Le Lévirat: entre Modernité et Tradition,54.78,success,Audios/x_IUK2R8xXw.mp3,True,52591106,ok
GuEn9C20qjw,https://www.youtube.com/watch?v=GuEn9C20qjw,Bénin: Les Règles à Respecter sur les Routes,13.55,success,Audios/GuEn9C20qjw.mp3,True,12993653,ok
