ID,URL,Title,Duration (minutes),Status,Audio Path
s9HROLQgAdA,https://www.youtube.com/watch?v=s9HROLQgAdA,Leçon 38 : Etude des règles grammaticale en langue fongbe du Bénin,10.58,success,Audios/s9HROLQgAdA.mp3
RTlbP7O_hyM,https://www.youtube.com/watch?v=RTlbP7O_hyM,Leçon 37 : Etude des consonnes en langue fongbe,10.63,success,Audios/RTlbP7O_hyM.mp3
hmDsQLP-xU0,https://www.youtube.com/watch?v=hmDsQLP-xU0,Leçon 36 : La consonne r en fongbe,8.67,success,Audios/hmDsQLP-xU0.mp3
iMN9RaxCRXo,https://www.youtube.com/watch?v=iMN9RaxCRXo,Leçon 35 : Etude de la consonne P en langue fongbe,9.02,success,Audios/iMN9RaxCRXo.mp3
Rfpw5VMJhjg,https://www.youtube.com/watch?v=Rfpw5VMJhjg,Leçon 34 : Etude des règles d'orthographe en fon,12.37,success,Audios/Rfpw5VMJhjg.mp3
K7O9tfrh9CA,https://www.youtube.com/watch?v=K7O9tfrh9CA,Leçon 33 : Etude de la lettre Z en langue fongbe,7.48,success,Audios/K7O9tfrh9CA.mp3
9vOslpndRQI,https://www.youtube.com/watch?v=9vOslpndRQI,Leçon 32 : Etude la consonne nasale ny en langue fongbe,10.63,success,Audios/9vOslpndRQI.mp3
svUNqaRA_xw,https://www.youtube.com/watch?v=svUNqaRA_xw,Leçon 31 : Etude de la lettre F f en langue Fongbe du Bénin,7.0,success,Audios/svUNqaRA_xw.mp3
w5X8TzZjCeE,https://www.youtube.com/watch?v=w5X8TzZjCeE,Leçon 30 : L'étude de la lettre J en langue fongbe du Bénin,9.7,success,Audios/w5X8TzZjCeE.mp3
-Jq3LlPZ6wo,https://www.youtube.com/watch?v=-Jq3LlPZ6wo,Leçon 29 : Etude de la consonne S en langue fon du Bénin,11.6,success,Audios/-Jq3LlPZ6wo.mp3
_MXakPWnYj0,https://www.youtube.com/watch?v=_MXakPWnYj0,Leçon 28 : La Labialisation en fongbe,13.9,success,Audios/_MXakPWnYj0.mp3
wfR6zNGGMVc,https://www.youtube.com/watch?v=wfR6zNGGMVc,Leçon 26 : Etude de la consonne H en fongbe,9.28,success,Audios/wfR6zNGGMVc.mp3
_smEgMBbtgo,https://www.youtube.com/watch?v=_smEgMBbtgo,Leçon 25 : Etude de la lettre C en fongbe,9.2,success,Audios/_smEgMBbtgo.mp3
bfwWrqOlUH4,https://www.youtube.com/watch?v=bfwWrqOlUH4,Leçon 24 Etude de la lettre K en fongbe,10.53,success,Audios/bfwWrqOlUH4.mp3
vUIVbFf63Bk,https://www.youtube.com/watch?v=vUIVbFf63Bk,Leçon 23 : Etude de la consonne V dans Tavo,10.0,success,Audios/vUIVbFf63Bk.mp3
QO9a0CXhXFI,https://www.youtube.com/watch?v=QO9a0CXhXFI,Leçon 22,14.38,success,Audios/QO9a0CXhXFI.mp3
c5xLnjs_9Sg,https://www.youtube.com/watch?v=c5xLnjs_9Sg,Leçon 20 : Etude des consonnes en langue fon cas de GBL,12.33,success,Audios/c5xLnjs_9Sg.mp3
0PXWKCaxP-0,https://www.youtube.com/watch?v=0PXWKCaxP-0,Leçon 19 : Etude de la combinaison des consonnes gl en langue fon,9.48,success,Audios/0PXWKCaxP-0.mp3
u0unAWZTEKI,https://www.youtube.com/watch?v=u0unAWZTEKI,Leçon 18 : Etude de la combinaison des consonnes BL en fongbe,9.85,success,Audios/u0unAWZTEKI.mp3
y8lcYDq0FTY,https://www.youtube.com/watch?v=y8lcYDq0FTY,Leçon17 : Etude de la consonne G g en langue fongbe,9.98,success,Audios/y8lcYDq0FTY.mp3
L0bIGWUVTxw,https://www.youtube.com/watch?v=L0bIGWUVTxw,Leçon 16 : Etude de la consonne Y y en langue Fongbe,8.97,success,Audios/L0bIGWUVTxw.mp3
dNJn63zS3FU,https://www.youtube.com/watch?v=dNJn63zS3FU,Leçon 15 : Etude de la consonne M m en langue fongbe,12.25,success,Audios/dNJn63zS3FU.mp3
e_SfLQSigT0,https://www.youtube.com/watch?v=e_SfLQSigT0,leçon 15 : Etude de la consonne M m en langue fongbe,15.0,success,Audios/e_SfLQSigT0.mp3
lzQlV75V6vw,https://www.youtube.com/watch?v=lzQlV75V6vw,Leçon 14: Etude de la consonne X en langue fongbe,10.7,success,Audios/lzQlV75V6vw.mp3
BR7cGw4r9Dc,https://www.youtube.com/watch?v=BR7cGw4r9Dc,Leçon 13 : Etude de la consonne KP en fongbe,10.82,success,Audios/BR7cGw4r9Dc.mp3
p27z9kiKUE0,https://www.youtube.com/watch?v=p27z9kiKUE0,Leçon 12 : Etude de la consonne T t en langue fongbe du Bénin,12.62,success,Audios/p27z9kiKUE0.mp3
v9xQb3cvKYc,https://www.youtube.com/watch?v=v9xQb3cvKYc,Leçon 11 : Etude de la consonne nasale N n dans le mot Anǎnú,15.05,success,Audios/v9xQb3cvKYc.mp3
qeyhRbrttHk,https://www.youtube.com/watch?v=qeyhRbrttHk,Leçon 10 : Etude de la consonne B b dans le mot Abɔ,11.07,success,Audios/qeyhRbrttHk.mp3
T-cLv4r-rG0,https://www.youtube.com/watch?v=T-cLv4r-rG0,Leçon 9 : L'étude de la consonne ɖ Ɖ en langue fon,11.2,success,Audios/T-cLv4r-rG0.mp3
OApPFBDSAAw,https://www.youtube.com/watch?v=OApPFBDSAAw,Leçon 8 : Etude de la consonne L dans le mot ɑlɑ,11.9,success,Audios/OApPFBDSAAw.mp3
LdZMXH5Iwhc,https://www.youtube.com/watch?v=LdZMXH5Iwhc,Leçon 7 : Etude de la consonne W dans le awu,13.87,success,Audios/LdZMXH5Iwhc.mp3
6jAtvV_LvB8,https://www.youtube.com/watch?v=6jAtvV_LvB8,"Leçon 6 : Les consonnes en langue fon (GB, gb étudié dans le mot agbadé)",13.78,success,Audios/6jAtvV_LvB8.mp3
CydIXd-lPlw,https://www.youtube.com/watch?v=CydIXd-lPlw,"Leçon 5 : Etude de la consonne D, d",10.32,success,Audios/CydIXd-lPlw.mp3
nP4NPmJegos,https://www.youtube.com/watch?v=nP4NPmJegos,Leçon 4 : Les voyelles allongées en langue fongbe,10.47,success,Audios/nP4NPmJegos.mp3
4Zps7mzcRBE,https://www.youtube.com/watch?v=4Zps7mzcRBE,Leçon 3 : Les voyelles nasales en fon,10.7,success,Audios/4Zps7mzcRBE.mp3
PipUD_Vus3U,https://www.youtube.com/watch?v=PipUD_Vus3U,Leçon 2 : Les voyelles simples en fon,11.08,success,Audios/PipUD_Vus3U.mp3
xkDz90TPI3M,https://www.youtube.com/watch?v=xkDz90TPI3M,Leçon 1: Les tons en langue fongbe,9.85,success,Audios/xkDz90TPI3M.mp3
8vF-6D6Lakc,https://www.youtube.com/watch?v=8vF-6D6Lakc,ELIFAZ - CHANTONS LES MAUX DE NOS MALADES (HUMOUR 229),5.02,success,Audios/8vF-6D6Lakc.mp3
