ID,URL,Title,Duration (minutes),Status,Audio Path
AqvfNAyDDxo,https://www.youtube.com/watch?v=AqvfNAyDDxo,SOUWENONSOUVO DU 12 DECEMBRE 2024,118.52,success,Audios/AqvfNAyDDxo.mp3
s1XErw3mWMY,https://www.youtube.com/watch?v=s1XErw3mWMY,SOUWENONSOUVO DU 26 DECEMBRE 2024,114.33,success,Audios/s1XErw3mWMY.mp3
_sMosuItZOs,https://www.youtube.com/watch?v=_sMosuItZOs,SOUWENONSOUVO DU 30 JANVIER 2025,114.5,success,Audios/_sMosuItZOs.mp3
PxT6P6I1VBA,https://www.youtube.com/watch?v=PxT6P6I1VBA,SOUWENONSOUVO DU 13 FEVRIER 2025,112.5,success,Audios/PxT6P6I1VBA.mp3
Vgh3irZrbQs,https://www.youtube.com/watch?v=Vgh3irZrbQs,SOUWENONSOUVO DU 27 FEVRIER 2025 BON,110.32,success,Audios/Vgh3irZrbQs.mp3
vbfoclOlF3Y,https://www.youtube.com/watch?v=vbfoclOlF3Y,SOUWENONSOUVO DU 13 MARS 2025,110.52,success,Audios/vbfoclOlF3Y.mp3
fejwn2jvknE,https://www.youtube.com/watch?v=fejwn2jvknE,SOUWENONSOUVO DU 27 MARS 2025,112.82,success,Audios/fejwn2jvknE.mp3
IJ9p0g0Fddo,https://www.youtube.com/watch?v=IJ9p0g0Fddo,SOUWENONSOUVO DU 01 MAI 2025,114.55,success,Audios/IJ9p0g0Fddo.mp3
eDteMZYTe_M,https://www.youtube.com/watch?v=eDteMZYTe_M,Le journal fongbé du 26 Octobre 2018,22.45,success,Audios/eDteMZYTe_M.mp3
L1k5Wg661w8,https://www.youtube.com/watch?v=L1k5Wg661w8,Journal Fongbé du 29 Octobre  2018,22.97,success,Audios/L1k5Wg661w8.mp3
JTyIEmLjtWE,https://www.youtube.com/watch?v=JTyIEmLjtWE,Hwenusu du  22 Octobre  2018,81.42,success,Audios/JTyIEmLjtWE.mp3
Sq6ERHMoVJs,https://www.youtube.com/watch?v=Sq6ERHMoVJs,Hwenusu du 24 Octobre 2018,78.65,success,Audios/Sq6ERHMoVJs.mp3
-WM8C8P0AEI,https://www.youtube.com/watch?v=-WM8C8P0AEI,Hwenusu du  25  Octobre  2018,83.92,success,Audios/-WM8C8P0AEI.mp3
eBZSy_WFh38,https://www.youtube.com/watch?v=eBZSy_WFh38,GAN KO XO Intégralité II La dot est-elle indispensable ?,53.3,success,Audios/eBZSy_WFh38.mp3
9dbE-lbIDN8,https://www.youtube.com/watch?v=9dbE-lbIDN8,MɔJƐMƐ II TOUT SAVOIR SUR LES JUMEAUX,12.42,success,Audios/9dbE-lbIDN8.mp3
J7Z8-qJcDl4,https://www.youtube.com/watch?v=J7Z8-qJcDl4,AZIZA WXE II QUE PENSEZ VOUS DE LA QUALITE DES PRODUCTIONS ARTISTIQUES DE NOS JOURS,6.88,success,Audios/J7Z8-qJcDl4.mp3
pWAvV4SQZeM,https://www.youtube.com/watch?v=pWAvV4SQZeM,Bande annonce de l'émission du 30/01/2022 GAN KO XO,0.57,success,Audios/pWAvV4SQZeM.mp3
IOHsJB95v34,https://www.youtube.com/watch?v=IOHsJB95v34,GAN  KO XO II Phénomène de mère célibataire.,61.85,success,Audios/IOHsJB95v34.mp3
Cc7cUEGpLHg,https://www.youtube.com/watch?v=Cc7cUEGpLHg,XOTADJI II Pourquoi le phénomène de mère célibataire?,19.57,success,Audios/Cc7cUEGpLHg.mp3
U6jTynXZXGE,https://www.youtube.com/watch?v=U6jTynXZXGE,AZIZA XWÉ  II L'Artiste Beninois Sweet Glory sur GAN  KO XO.,16.37,success,Audios/U6jTynXZXGE.mp3
gtbzPRRUrFU,https://www.youtube.com/watch?v=gtbzPRRUrFU,GAN KO XO II Tout savoir sur le Mamiwata,19.53,success,Audios/gtbzPRRUrFU.mp3
-TnVxi5x5IU,https://www.youtube.com/watch?v=-TnVxi5x5IU,BANDE ANNONCE #GANKOXO DU 6 FÉVRIER,0.5,success,Audios/-TnVxi5x5IU.mp3
cg0YYDWU0VA,https://www.youtube.com/watch?v=cg0YYDWU0VA,GAN KO XO II PEUT-ON TOUJOURS FAIRE CONFIANCE A SON PROCHAIN,54.42,success,Audios/cg0YYDWU0VA.mp3
nbbmo785wV0,https://www.youtube.com/watch?v=nbbmo785wV0,BANDE ANNONCE #GANKOXO,0.5,success,Audios/nbbmo785wV0.mp3
kwzVxwl_Eew,https://www.youtube.com/watch?v=kwzVxwl_Eew,GAN KO XO II S?XE AVANT OU APRÈS LE MARIAGE,77.32,success,Audios/kwzVxwl_Eew.mp3
W0Wd3OQU4aE,https://www.youtube.com/watch?v=W0Wd3OQU4aE,#GANKOXO,0.5,success,Audios/W0Wd3OQU4aE.mp3
SPWtb2bBupw,https://www.youtube.com/watch?v=SPWtb2bBupw,GAN KO XO II MAKE UP POUR OU CONTRE ?,60.52,success,Audios/SPWtb2bBupw.mp3
2ysNVs-lXic,https://www.youtube.com/watch?v=2ysNVs-lXic,BANDE ANNONCE #GANKOXO DU 27 FÉVRIER 2022,0.52,success,Audios/2ysNVs-lXic.mp3
AILTAWCWp5g,https://www.youtube.com/watch?v=AILTAWCWp5g,Bénin: GAN KO XO II LE CHRÉTIEN ET LA PARTICIPATION FINANCIÈRE AUX CÉRÉMONIES TRADITIONNELLES,59.33,success,Audios/AILTAWCWp5g.mp3
0YH86OsJbF0,https://www.youtube.com/watch?v=0YH86OsJbF0,BANDE ANNONCE #GANKOXO,0.5,success,Audios/0YH86OsJbF0.mp3
WxOBdcCIrho,https://www.youtube.com/watch?v=WxOBdcCIrho,GAN KO XO II DOIT-ON AVOIR DES AMBITIONS DANS LA VIE ?,65.33,success,Audios/WxOBdcCIrho.mp3
Jpn5bF6aYZU,https://www.youtube.com/watch?v=Jpn5bF6aYZU,GAN KO XO II FÂ,28.73,success,Audios/Jpn5bF6aYZU.mp3
8NbyAc982Gw,https://www.youtube.com/watch?v=8NbyAc982Gw,GAN KO XO,21.58,success,Audios/8NbyAc982Gw.mp3
OiwMzNN6Igc,https://www.youtube.com/watch?v=OiwMzNN6Igc,Bande annonce de l'émission GAN KO XO,0.5,success,Audios/OiwMzNN6Igc.mp3
zF_jMC5NH8M,https://www.youtube.com/watch?v=zF_jMC5NH8M,GAN KO XO II L'HOMME OU L'ARGENT,64.9,success,Audios/zF_jMC5NH8M.mp3
Ptll2709apI,https://www.youtube.com/watch?v=Ptll2709apI,Bénin: Journée FIFA de Mars 2022,1.0,success,Audios/Ptll2709apI.mp3
CoGpNLlcuAk,https://www.youtube.com/watch?v=CoGpNLlcuAk,BANDE ANNONCE #GANKOXO,0.5,success,Audios/CoGpNLlcuAk.mp3
bf32Qz5wpSE,https://www.youtube.com/watch?v=bf32Qz5wpSE,GAN KO XO II DEVOIR CONJUGAL,69.83,success,Audios/bf32Qz5wpSE.mp3
X41MguSdPVg,https://www.youtube.com/watch?v=X41MguSdPVg,BANDE ANNONCE #GANKOXO,0.5,success,Audios/X41MguSdPVg.mp3
pzl0qUb6GTU,https://www.youtube.com/watch?v=pzl0qUb6GTU,GAN KO XO II FAUT-IL PARTAGER LES SECRETS DU COUPLE AVEC TIERS PERSONNE?,68.63,success,Audios/pzl0qUb6GTU.mp3
uevmbfoZxBc,https://www.youtube.com/watch?v=uevmbfoZxBc,Mɔnjɛmɛ II FÂ,25.12,success,Audios/uevmbfoZxBc.mp3
VpRZpiRCVsM,https://www.youtube.com/watch?v=VpRZpiRCVsM,BANDE ANNONCE #GANKOXO,0.5,success,Audios/VpRZpiRCVsM.mp3
AcLHSCYP2F0,https://www.youtube.com/watch?v=AcLHSCYP2F0,GAN KO XO II Faut-il répudier une femme stérile?,62.32,success,Audios/AcLHSCYP2F0.mp3
v9kJBwfH0Gs,https://www.youtube.com/watch?v=v9kJBwfH0Gs,Mɔjɛmɛ II Fâ: tout savoir sur DI LOSSO  avec BOCONON AYANDJI,16.43,success,Audios/v9kJBwfH0Gs.mp3
qjkKsonpFJA,https://www.youtube.com/watch?v=qjkKsonpFJA,Dah Ayato et Ziz Zola #Comédie,21.7,success,Audios/qjkKsonpFJA.mp3
u7MxllMJUe0,https://www.youtube.com/watch?v=u7MxllMJUe0,BANDE ANNONCE #GANKOXO,0.5,success,Audios/u7MxllMJUe0.mp3
6cYMRyvY5zk,https://www.youtube.com/watch?v=6cYMRyvY5zk,GAN KO XO II LA BELLE MÈRE PEUT-ELLE HABITER DANS VOTRE MAISON ?,79.88,success,Audios/6cYMRyvY5zk.mp3
tXIqGbN76JA,https://www.youtube.com/watch?v=tXIqGbN76JA,OLUWA KEMY SUR #GAN KOXO,30.37,success,Audios/tXIqGbN76JA.mp3
9deu49R_H6g,https://www.youtube.com/watch?v=9deu49R_H6g,Mɔjɛmɛ II FÂ Tout savoir LOSSO - WINLIN AVEC BOCONON AYANDJI,18.07,success,Audios/9deu49R_H6g.mp3
7Sx4tdZ62EI,https://www.youtube.com/watch?v=7Sx4tdZ62EI,BANDE ANNONCE #GANKOXO,0.5,success,Audios/7Sx4tdZ62EI.mp3
ot_pWzbeHcE,https://www.youtube.com/watch?v=ot_pWzbeHcE,GAN KO XO II POUR OU CONTRE LE MARIAGE INTER RELIGIONS,71.0,success,Audios/ot_pWzbeHcE.mp3
Jo2Ps8HVoo0,https://www.youtube.com/watch?v=Jo2Ps8HVoo0,GAN KO XO II DOIT-ON EMPRUNTER DE L'ARGENT POUR LES OBSEQUES DE SES BEAUX PARENTS ? #BELMONDE Z,64.38,success,Audios/Jo2Ps8HVoo0.mp3
